match_date,day,match_hour,week,country,season,league,venue,team,gf,ga,opponent,result,goal_diff
2025-02-25,Tuesday,19,27,England,2024/2025,Premier League,Away,Fulham,2,1,Wolverhampton,W,1
2025-03-08,Saturday,15,28,England,2024/2025,Premier League,Away,Fulham,1,2,Brighton Hove,L,-1
2025-03-16,Sunday,13,29,England,2024/2025,Premier League,Home,Fulham,2,0,Tottenham,W,2
2025-04-01,Tuesday,18,30,England,2024/2025,Premier League,Away,Fulham,1,2,Arsenal,L,-1
2025-04-06,Sunday,13,31,England,2024/2025,Premier League,Home,Fulham,3,2,Liverpool,W,1
2025-04-14,Monday,19,32,England,2024/2025,Premier League,Away,Fulham,0,1,Bournemouth,L,-1
2025-04-20,Sunday,13,33,England,2024/2025,Premier League,Home,Fulham,1,2,Chelsea,L,-1
2025-04-26,Saturday,14,34,England,2024/2025,Premier League,Away,Fulham,2,1,Southampton,W,1
2025-05-03,Saturday,11,35,England,2024/2025,Premier League,Away,Fulham,0,1,Aston Villa,L,-1
2025-05-10,Saturday,14,36,England,2024/2025,Premier League,Home,Fulham,1,3,Everton,L,-2
2025-05-18,Sunday,14,37,England,2024/2025,Premier League,Away,Fulham,3,2,Brentford,W,1
2025-05-25,Sunday,15,38,England,2024/2025,Premier League,Home,Fulham,0,2,Man City,L,-2
2024-08-17,Saturday,11,1,England,2024/2025,Premier League,Away,Liverpool,2,0,Ipswich Town,W,2
2024-08-25,Sunday,15,2,England,2024/2025,Premier League,Home,Liverpool,2,0,Brentford,W,2
2024-09-01,Sunday,15,3,England,2024/2025,Premier League,Away,Liverpool,3,0,Man United,W,3
2024-09-14,Saturday,14,4,England,2024/2025,Premier League,Home,Liverpool,0,1,Nottingham,L,-1
2024-09-21,Saturday,14,5,England,2024/2025,Premier League,Home,Liverpool,3,0,Bournemouth,W,3
2024-09-28,Saturday,16,6,England,2024/2025,Premier League,Away,Liverpool,2,1,Wolverhampton,W,1
2024-10-05,Saturday,11,7,England,2024/2025,Premier League,Away,Liverpool,1,0,Crystal Palace,W,1
2024-10-20,Sunday,15,8,England,2024/2025,Premier League,Home,Liverpool,2,1,Chelsea,W,1
2024-10-27,Sunday,16,9,England,2024/2025,Premier League,Away,Liverpool,2,2,Arsenal,D,0
2024-11-02,Saturday,15,10,England,2024/2025,Premier League,Home,Liverpool,2,1,Brighton Hove,W,1
2024-11-09,Saturday,20,11,England,2024/2025,Premier League,Home,Liverpool,2,0,Aston Villa,W,2
2024-11-24,Sunday,14,12,England,2024/2025,Premier League,Away,Liverpool,3,2,Southampton,W,1
2024-12-01,Sunday,16,13,England,2024/2025,Premier League,Home,Liverpool,2,0,Man City,W,2
2024-12-04,Wednesday,19,14,England,2024/2025,Premier League,Away,Liverpool,3,3,Newcastle,D,0
2024-12-14,Saturday,15,16,England,2024/2025,Premier League,Home,Liverpool,2,2,Fulham,D,0
2024-12-22,Sunday,16,17,England,2024/2025,Premier League,Away,Liverpool,6,3,Tottenham,W,3
2024-12-26,Thursday,20,18,England,2024/2025,Premier League,Home,Liverpool,3,1,Leicester City,W,2
2024-12-29,Sunday,17,19,England,2024/2025,Premier League,Away,Liverpool,5,0,West Ham,W,5
2025-01-05,Sunday,16,20,England,2024/2025,Premier League,Home,Liverpool,2,2,Man United,D,0
2025-01-14,Tuesday,20,21,England,2024/2025,Premier League,Away,Liverpool,1,1,Nottingham,D,0
2025-01-18,Saturday,15,22,England,2024/2025,Premier League,Away,Liverpool,2,0,Brentford,W,2
2025-01-25,Saturday,15,23,England,2024/2025,Premier League,Home,Liverpool,4,1,Ipswich Town,W,3
2025-02-01,Saturday,15,24,England,2024/2025,Premier League,Away,Liverpool,2,0,Bournemouth,W,2
2025-02-12,Wednesday,19,15,England,2024/2025,Premier League,Away,Liverpool,2,2,Everton,D,0
2025-02-16,Sunday,14,25,England,2024/2025,Premier League,Home,Liverpool,2,1,Wolverhampton,W,1
2025-02-19,Wednesday,19,29,England,2024/2025,Premier League,Away,Liverpool,2,2,Aston Villa,D,0
2025-02-23,Sunday,16,26,England,2024/2025,Premier League,Away,Liverpool,2,0,Man City,W,2
2025-02-26,Wednesday,20,27,England,2024/2025,Premier League,Home,Liverpool,2,0,Newcastle,W,2
2025-03-08,Saturday,15,28,England,2024/2025,Premier League,Home,Liverpool,3,1,Southampton,W,2
2025-04-02,Wednesday,19,30,England,2024/2025,Premier League,Home,Liverpool,1,0,Everton,W,1
2025-04-06,Sunday,13,31,England,2024/2025,Premier League,Away,Liverpool,2,3,Fulham,L,-1
2025-04-13,Sunday,13,32,England,2024/2025,Premier League,Home,Liverpool,2,1,West Ham,W,1
2025-04-20,Sunday,15,33,England,2024/2025,Premier League,Away,Liverpool,1,0,Leicester City,W,1
2025-04-27,Sunday,15,34,England,2024/2025,Premier League,Home,Liverpool,5,1,Tottenham,W,4
2025-05-04,Sunday,15,35,England,2024/2025,Premier League,Away,Liverpool,1,3,Chelsea,L,-2
2025-05-11,Sunday,15,36,England,2024/2025,Premier League,Home,Liverpool,2,2,Arsenal,D,0
2025-05-19,Monday,19,37,England,2024/2025,Premier League,Away,Liverpool,2,3,Brighton Hove,L,-1
2025-05-25,Sunday,15,38,England,2024/2025,Premier League,Home,Liverpool,1,1,Crystal Palace,D,0
2024-08-18,Sunday,15,1,England,2024/2025,Premier League,Away,Man City,2,0,Chelsea,W,2
2024-08-24,Saturday,14,2,England,2024/2025,Premier League,Home,Man City,4,1,Ipswich Town,W,3
2024-08-31,Saturday,16,3,England,2024/2025,Premier League,Away,Man City,3,1,West Ham,W,2
2024-09-14,Saturday,14,4,England,2024/2025,Premier League,Home,Man City,2,1,Brentford,W,1
2024-09-22,Sunday,15,5,England,2024/2025,Premier League,Home,Man City,2,2,Arsenal,D,0
2024-09-28,Saturday,11,6,England,2024/2025,Premier League,Away,Man City,1,1,Newcastle,D,0
2024-10-05,Saturday,14,7,England,2024/2025,Premier League,Home,Man City,3,2,Fulham,W,1
2024-10-20,Sunday,13,8,England,2024/2025,Premier League,Away,Man City,2,1,Wolverhampton,W,1
2024-10-26,Saturday,14,9,England,2024/2025,Premier League,Home,Man City,1,0,Southampton,W,1
2024-11-02,Saturday,15,10,England,2024/2025,Premier League,Away,Man City,1,2,Bournemouth,L,-1
2024-11-09,Saturday,17,11,England,2024/2025,Premier League,Away,Man City,1,2,Brighton Hove,L,-1
2024-11-23,Saturday,17,12,England,2024/2025,Premier League,Home,Man City,0,4,Tottenham,L,-4
2024-12-01,Sunday,16,13,England,2024/2025,Premier League,Away,Man City,0,2,Liverpool,L,-2
2024-12-04,Wednesday,19,14,England,2024/2025,Premier League,Home,Man City,3,0,Nottingham,W,3
2024-12-07,Saturday,15,15,England,2024/2025,Premier League,Away,Man City,2,2,Crystal Palace,D,0
2024-12-15,Sunday,16,16,England,2024/2025,Premier League,Home,Man City,1,2,Man United,L,-1
2024-12-21,Saturday,12,17,England,2024/2025,Premier League,Away,Man City,1,2,Aston Villa,L,-1
2024-12-26,Thursday,12,18,England,2024/2025,Premier League,Home,Man City,1,1,Everton,D,0
2024-12-29,Sunday,14,19,England,2024/2025,Premier League,Away,Man City,2,0,Leicester City,W,2
2025-01-04,Saturday,15,20,England,2024/2025,Premier League,Home,Man City,4,1,West Ham,W,3
2025-01-14,Tuesday,19,21,England,2024/2025,Premier League,Away,Man City,2,2,Brentford,D,0
2025-01-19,Sunday,16,22,England,2024/2025,Premier League,Away,Man City,6,0,Ipswich Town,W,6
2025-01-25,Saturday,17,23,England,2024/2025,Premier League,Home,Man City,3,1,Chelsea,W,2
2025-02-02,Sunday,16,24,England,2024/2025,Premier League,Away,Man City,1,5,Arsenal,L,-4
2025-02-15,Saturday,15,25,England,2024/2025,Premier League,Home,Man City,4,0,Newcastle,W,4
2025-02-23,Sunday,16,26,England,2024/2025,Premier League,Home,Man City,0,2,Liverpool,L,-2
2025-02-26,Wednesday,19,27,England,2024/2025,Premier League,Away,Man City,1,0,Tottenham,W,1
2025-03-08,Saturday,12,28,England,2024/2025,Premier League,Away,Man City,0,1,Nottingham,L,-1
2025-03-15,Saturday,15,29,England,2024/2025,Premier League,Home,Man City,2,2,Brighton Hove,D,0
2025-04-02,Wednesday,18,30,England,2024/2025,Premier League,Home,Man City,2,0,Leicester City,W,2
