,match_date,match_hour,week,country,league,venue,team,gf,ga,opponent,result,goal_diff
241,2024-12-04,19,14,England,Premier League,Home,Man City,3,0,Nottingham,1,3
242,2024-12-07,15,15,England,Premier League,Away,Man City,2,2,Crystal Palace,2,0
243,2024-12-15,16,16,England,Premier League,Home,Man City,1,2,Man United,0,-1
244,2024-12-21,12,17,England,Premier League,Away,Man City,1,2,Aston Villa,0,-1
245,2024-12-26,12,18,England,Premier League,Home,Man City,1,1,Everton,2,0
246,2024-12-29,14,19,England,Premier League,Away,Man City,2,0,Leicester City,1,2
247,2025-01-04,15,20,England,Premier League,Home,Man City,4,1,West Ham,1,3
248,2025-01-14,19,21,England,Premier League,Away,Man City,2,2,Brentford,2,0
249,2025-01-19,16,22,England,Premier League,Away,Man City,6,0,Ipswich Town,1,6
250,2025-01-25,17,23,England,Premier League,Home,Man City,3,1,Chelsea,1,2
251,2025-02-02,16,24,England,Premier League,Away,Man City,1,5,Arsenal,0,-4
252,2025-02-15,15,25,England,Premier League,Home,Man City,4,0,Newcastle,1,4
253,2025-02-23,16,26,England,Premier League,Home,Man City,0,2,Liverpool,0,-2
254,2025-02-26,19,27,England,Premier League,Away,Man City,1,0,Tottenham,1,1
255,2025-03-08,12,28,England,Premier League,Away,Man City,0,1,Nottingham,0,-1
256,2025-03-15,15,29,England,Premier League,Home,Man City,2,2,Brighton Hove,2,0
257,2025-04-02,18,30,England,Premier League,Home,Man City,2,0,Leicester City,1,2
258,2025-04-06,15,31,England,Premier League,Away,Man City,0,0,Man United,2,0
259,2025-04-12,11,32,England,Premier League,Home,Man City,5,2,Crystal Palace,1,3
260,2025-04-19,14,33,England,Premier League,Away,Man City,2,0,Everton,1,2
261,2025-04-22,19,34,England,Premier League,Home,Man City,2,1,Aston Villa,1,1
262,2025-05-02,19,35,England,Premier League,Home,Man City,1,0,Wolverhampton,1,1
263,2025-05-10,14,36,England,Premier League,Away,Man City,0,0,Southampton,2,0
264,2025-05-20,19,37,England,Premier League,Home,Man City,3,1,Bournemouth,1,2
265,2025-05-25,15,38,England,Premier League,Away,Man City,2,0,Fulham,1,2
266,2024-08-16,19,1,England,Premier League,Home,Man United,1,0,Fulham,1,1
267,2024-08-24,11,2,England,Premier League,Away,Man United,1,2,Brighton Hove,0,-1
268,2024-09-01,15,3,England,Premier League,Home,Man United,0,3,Liverpool,0,-3
269,2024-09-14,11,4,England,Premier League,Away,Man United,3,0,Southampton,1,3
270,2024-09-21,16,5,England,Premier League,Away,Man United,0,0,Crystal Palace,2,0
271,2024-09-29,15,6,England,Premier League,Home,Man United,0,3,Tottenham,0,-3
272,2024-10-06,13,7,England,Premier League,Away,Man United,0,0,Aston Villa,2,0
273,2024-10-19,14,8,England,Premier League,Home,Man United,2,1,Brentford,1,1
274,2024-10-27,14,9,England,Premier League,Away,Man United,1,2,West Ham,0,-1
275,2024-11-03,16,10,England,Premier League,Home,Man United,1,1,Chelsea,2,0
276,2024-11-10,14,11,England,Premier League,Home,Man United,3,0,Leicester City,1,3
277,2024-11-24,16,12,England,Premier League,Away,Man United,1,1,Ipswich Town,2,0
278,2024-12-01,13,13,England,Premier League,Home,Man United,4,0,Everton,1,4
279,2024-12-04,20,14,England,Premier League,Away,Man United,0,2,Arsenal,0,-2
