,match_week,match_date,match_hour,league,home_id,home_name,away_id,away_name,winner,home_goals,away_goals
2809,6,2024-10-05,13,Bundesliga,28,Union Berlin,4,Dortmund,HOME_TEAM,2,1
2810,7,2024-10-18,18,Bundesliga,4,Dortmund,20,St. Pauli,HOME_TEAM,2,1
2811,8,2024-10-26,13,Bundesliga,16,Augsburg,4,Dortmund,HOME_TEAM,2,1
2812,9,2024-11-02,17,Bundesliga,4,Dortmund,721,RB Leipzig,HOME_TEAM,2,1
2813,10,2024-11-09,14,Bundesliga,15,Mainz,4,Dortmund,HOME_TEAM,3,1
2814,11,2024-11-23,14,Bundesliga,4,Dortmund,17,Freiburg,HOME_TEAM,4,0
2815,12,2024-11-30,17,Bundesliga,4,Dortmund,5,Bayern,DRAW,1,1
2816,13,2024-12-07,17,Bundesliga,18,M'gladbach,4,Dortmund,DRAW,1,1
2817,14,2024-12-15,16,Bundesliga,4,Dortmund,2,Hoffenheim,DRAW,1,1
2818,15,2024-12-22,16,Bundesliga,11,Wolfsburg,4,Dortmund,AWAY_TEAM,1,3
2819,16,2025-01-10,19,Bundesliga,4,Dortmund,3,Leverkusen,AWAY_TEAM,2,3
2820,17,2025-01-14,17,Bundesliga,720,Holstein Kiel,4,Dortmund,HOME_TEAM,4,2
2821,18,2025-01-17,19,Bundesliga,19,Frankfurt,4,Dortmund,HOME_TEAM,2,0
2822,19,2025-01-25,14,Bundesliga,4,Dortmund,12,Bremen,DRAW,2,2
2823,20,2025-02-01,14,Bundesliga,44,Heidenheim,4,Dortmund,AWAY_TEAM,1,2
2824,21,2025-02-08,14,Bundesliga,4,Dortmund,10,Stuttgart,AWAY_TEAM,1,2
2825,22,2025-02-15,14,Bundesliga,36,Bochum,4,Dortmund,HOME_TEAM,2,0
2826,23,2025-02-22,17,Bundesliga,4,Dortmund,28,Union Berlin,HOME_TEAM,6,0
2827,24,2025-03-01,14,Bundesliga,20,St. Pauli,4,Dortmund,AWAY_TEAM,0,2
2828,25,2025-03-08,14,Bundesliga,4,Dortmund,16,Augsburg,AWAY_TEAM,0,1
2829,26,2025-03-15,17,Bundesliga,721,RB Leipzig,4,Dortmund,HOME_TEAM,2,0
2830,27,2025-03-30,15,Bundesliga,4,Dortmund,15,Mainz,HOME_TEAM,3,1
2831,28,2025-04-05,13,Bundesliga,17,Freiburg,4,Dortmund,AWAY_TEAM,1,4
2832,29,2025-04-12,16,Bundesliga,5,Bayern,4,Dortmund,DRAW,2,2
2833,30,2025-04-20,15,Bundesliga,4,Dortmund,18,M'gladbach,HOME_TEAM,3,2
2834,31,2025-04-26,13,Bundesliga,2,Hoffenheim,4,Dortmund,AWAY_TEAM,2,3
2835,32,2025-05-03,16,Bundesliga,4,Dortmund,11,Wolfsburg,HOME_TEAM,4,0
2836,33,2025-05-11,13,Bundesliga,3,Leverkusen,4,Dortmund,AWAY_TEAM,2,4
2837,34,2025-05-17,13,Bundesliga,4,Dortmund,720,Holstein Kiel,HOME_TEAM,3,0
2838,1,2024-08-25,13,Bundesliga,11,Wolfsburg,5,Bayern,AWAY_TEAM,2,3
2839,2,2024-09-01,15,Bundesliga,5,Bayern,17,Freiburg,HOME_TEAM,2,0
2840,3,2024-09-14,16,Bundesliga,720,Holstein Kiel,5,Bayern,AWAY_TEAM,1,6
2841,4,2024-09-21,13,Bundesliga,12,Bremen,5,Bayern,AWAY_TEAM,0,5
2842,5,2024-09-28,16,Bundesliga,5,Bayern,3,Leverkusen,DRAW,1,1
2843,6,2024-10-06,15,Bundesliga,19,Frankfurt,5,Bayern,DRAW,3,3
2844,7,2024-10-19,16,Bundesliga,5,Bayern,10,Stuttgart,HOME_TEAM,4,0
2845,8,2024-10-27,14,Bundesliga,36,Bochum,5,Bayern,AWAY_TEAM,0,5
2846,9,2024-11-02,14,Bundesliga,5,Bayern,28,Union Berlin,HOME_TEAM,3,0
2847,10,2024-11-09,14,Bundesliga,20,St. Pauli,5,Bayern,AWAY_TEAM,0,1
2848,11,2024-11-22,19,Bundesliga,5,Bayern,16,Augsburg,HOME_TEAM,3,0
2849,12,2024-11-30,17,Bundesliga,4,Dortmund,5,Bayern,DRAW,1,1
2850,13,2024-12-07,14,Bundesliga,5,Bayern,44,Heidenheim,HOME_TEAM,4,2
2851,14,2024-12-14,14,Bundesliga,15,Mainz,5,Bayern,HOME_TEAM,2,1
2852,15,2024-12-20,19,Bundesliga,5,Bayern,721,RB Leipzig,HOME_TEAM,5,1
2853,16,2025-01-11,17,Bundesliga,18,M'gladbach,5,Bayern,AWAY_TEAM,0,1
2854,17,2025-01-15,19,Bundesliga,5,Bayern,2,Hoffenheim,HOME_TEAM,5,0
2855,18,2025-01-18,14,Bundesliga,5,Bayern,11,Wolfsburg,HOME_TEAM,3,2
2856,19,2025-01-25,14,Bundesliga,17,Freiburg,5,Bayern,AWAY_TEAM,1,2
2857,20,2025-02-01,14,Bundesliga,5,Bayern,720,Holstein Kiel,HOME_TEAM,4,3
2858,21,2025-02-07,19,Bundesliga,5,Bayern,12,Bremen,HOME_TEAM,3,0
2859,22,2025-02-15,17,Bundesliga,3,Leverkusen,5,Bayern,DRAW,0,0
2860,23,2025-02-23,16,Bundesliga,5,Bayern,19,Frankfurt,HOME_TEAM,4,0
2861,24,2025-02-28,19,Bundesliga,10,Stuttgart,5,Bayern,AWAY_TEAM,1,3
2862,25,2025-03-08,14,Bundesliga,5,Bayern,36,Bochum,AWAY_TEAM,2,3
2863,26,2025-03-15,14,Bundesliga,28,Union Berlin,5,Bayern,DRAW,1,1
2864,27,2025-03-29,14,Bundesliga,5,Bayern,20,St. Pauli,HOME_TEAM,3,2
2865,28,2025-04-04,18,Bundesliga,16,Augsburg,5,Bayern,AWAY_TEAM,1,3
2866,29,2025-04-12,16,Bundesliga,5,Bayern,4,Dortmund,DRAW,2,2
2867,30,2025-04-19,13,Bundesliga,44,Heidenheim,5,Bayern,AWAY_TEAM,0,4
2868,31,2025-04-26,13,Bundesliga,5,Bayern,15,Mainz,HOME_TEAM,3,0
2869,32,2025-05-03,13,Bundesliga,721,RB Leipzig,5,Bayern,DRAW,3,3
2870,33,2025-05-10,16,Bundesliga,5,Bayern,18,M'gladbach,HOME_TEAM,2,0
2871,34,2025-05-17,13,Bundesliga,2,Hoffenheim,5,Bayern,AWAY_TEAM,0,4
2872,1,2024-08-24,13,Bundesliga,17,Freiburg,10,Stuttgart,HOME_TEAM,3,1
2873,2,2024-08-31,13,Bundesliga,10,Stuttgart,15,Mainz,DRAW,3,3
2874,3,2024-09-14,13,Bundesliga,18,M'gladbach,10,Stuttgart,AWAY_TEAM,1,3
2875,4,2024-09-22,15,Bundesliga,10,Stuttgart,4,Dortmund,HOME_TEAM,5,1
2876,5,2024-09-28,13,Bundesliga,11,Wolfsburg,10,Stuttgart,DRAW,2,2
2877,6,2024-10-06,17,Bundesliga,10,Stuttgart,2,Hoffenheim,DRAW,1,1
2878,7,2024-10-19,16,Bundesliga,5,Bayern,10,Stuttgart,HOME_TEAM,4,0
2879,8,2024-10-26,13,Bundesliga,10,Stuttgart,720,Holstein Kiel,HOME_TEAM,2,1
2880,9,2024-11-01,19,Bundesliga,3,Leverkusen,10,Stuttgart,DRAW,0,0
2881,10,2024-11-10,16,Bundesliga,10,Stuttgart,19,Frankfurt,AWAY_TEAM,2,3
2882,11,2024-11-23,14,Bundesliga,10,Stuttgart,36,Bochum,HOME_TEAM,2,0
2883,12,2024-11-30,14,Bundesliga,12,Bremen,10,Stuttgart,DRAW,2,2
2884,13,2024-12-06,19,Bundesliga,10,Stuttgart,28,Union Berlin,HOME_TEAM,3,2
2885,14,2024-12-15,14,Bundesliga,44,Heidenheim,10,Stuttgart,AWAY_TEAM,1,3
2886,15,2024-12-21,14,Bundesliga,10,Stuttgart,20,St. Pauli,AWAY_TEAM,0,1
2887,16,2025-01-12,16,Bundesliga,16,Augsburg,10,Stuttgart,AWAY_TEAM,0,1
2888,17,2025-01-15,19,Bundesliga,10,Stuttgart,721,RB Leipzig,HOME_TEAM,2,1
2889,18,2025-01-18,14,Bundesliga,10,Stuttgart,17,Freiburg,HOME_TEAM,4,0
2890,19,2025-01-25,14,Bundesliga,15,Mainz,10,Stuttgart,HOME_TEAM,2,0
2891,20,2025-02-01,14,Bundesliga,10,Stuttgart,18,M'gladbach,AWAY_TEAM,1,2
2892,21,2025-02-08,14,Bundesliga,4,Dortmund,10,Stuttgart,AWAY_TEAM,1,2
2893,22,2025-02-15,14,Bundesliga,10,Stuttgart,11,Wolfsburg,AWAY_TEAM,1,2
2894,23,2025-02-23,18,Bundesliga,2,Hoffenheim,10,Stuttgart,DRAW,1,1
2895,24,2025-02-28,19,Bundesliga,10,Stuttgart,5,Bayern,AWAY_TEAM,1,3
2896,25,2025-03-08,14,Bundesliga,720,Holstein Kiel,10,Stuttgart,DRAW,2,2
2897,26,2025-03-16,18,Bundesliga,10,Stuttgart,3,Leverkusen,AWAY_TEAM,3,4
2898,27,2025-03-29,17,Bundesliga,19,Frankfurt,10,Stuttgart,HOME_TEAM,1,0
2899,28,2025-04-05,13,Bundesliga,36,Bochum,10,Stuttgart,AWAY_TEAM,0,4
2900,29,2025-04-13,13,Bundesliga,10,Stuttgart,12,Bremen,AWAY_TEAM,1,2
2901,30,2025-04-19,16,Bundesliga,28,Union Berlin,10,Stuttgart,DRAW,4,4
2902,31,2025-04-25,18,Bundesliga,10,Stuttgart,44,Heidenheim,AWAY_TEAM,0,1
2903,32,2025-05-03,13,Bundesliga,20,St. Pauli,10,Stuttgart,AWAY_TEAM,0,1
2904,33,2025-05-11,17,Bundesliga,10,Stuttgart,16,Augsburg,HOME_TEAM,4,0
2905,34,2025-05-17,13,Bundesliga,721,RB Leipzig,10,Stuttgart,AWAY_TEAM,2,3
2906,1,2024-08-25,13,Bundesliga,11,Wolfsburg,5,Bayern,AWAY_TEAM,2,3
2907,2,2024-08-31,13,Bundesliga,720,Holstein Kiel,11,Wolfsburg,AWAY_TEAM,0,2
2908,3,2024-09-14,13,Bundesliga,11,Wolfsburg,19,Frankfurt,AWAY_TEAM,1,2
2909,4,2024-09-22,13,Bundesliga,3,Leverkusen,11,Wolfsburg,HOME_TEAM,4,3
2910,5,2024-09-28,13,Bundesliga,11,Wolfsburg,10,Stuttgart,DRAW,2,2
2911,6,2024-10-05,13,Bundesliga,36,Bochum,11,Wolfsburg,AWAY_TEAM,1,3
2912,7,2024-10-20,15,Bundesliga,11,Wolfsburg,12,Bremen,AWAY_TEAM,2,4
2913,8,2024-10-26,13,Bundesliga,20,St. Pauli,11,Wolfsburg,DRAW,0,0
2914,9,2024-11-02,14,Bundesliga,11,Wolfsburg,16,Augsburg,DRAW,1,1
2915,10,2024-11-10,18,Bundesliga,44,Heidenheim,11,Wolfsburg,AWAY_TEAM,1,3
2916,11,2024-11-23,14,Bundesliga,11,Wolfsburg,28,Union Berlin,HOME_TEAM,1,0
2917,12,2024-11-30,14,Bundesliga,721,RB Leipzig,11,Wolfsburg,AWAY_TEAM,1,5
2918,13,2024-12-08,14,Bundesliga,11,Wolfsburg,15,Mainz,HOME_TEAM,4,3
2919,14,2024-12-13,19,Bundesliga,17,Freiburg,11,Wolfsburg,HOME_TEAM,3,2
2920,15,2024-12-22,16,Bundesliga,11,Wolfsburg,4,Dortmund,AWAY_TEAM,1,3
2921,16,2025-01-11,14,Bundesliga,2,Hoffenheim,11,Wolfsburg,AWAY_TEAM,0,1
2922,17,2025-01-14,19,Bundesliga,11,Wolfsburg,18,M'gladbach,HOME_TEAM,5,1
2923,18,2025-01-18,14,Bundesliga,5,Bayern,11,Wolfsburg,HOME_TEAM,3,2
2924,19,2025-01-24,19,Bundesliga,11,Wolfsburg,720,Holstein Kiel,DRAW,2,2
2925,20,2025-02-02,14,Bundesliga,19,Frankfurt,11,Wolfsburg,DRAW,1,1
2926,21,2025-02-08,14,Bundesliga,11,Wolfsburg,3,Leverkusen,DRAW,0,0
2927,22,2025-02-15,14,Bundesliga,10,Stuttgart,11,Wolfsburg,AWAY_TEAM,1,2
2928,23,2025-02-22,14,Bundesliga,11,Wolfsburg,36,Bochum,DRAW,1,1
2929,24,2025-03-01,14,Bundesliga,12,Bremen,11,Wolfsburg,AWAY_TEAM,1,2
2930,25,2025-03-08,14,Bundesliga,11,Wolfsburg,20,St. Pauli,DRAW,1,1
2931,26,2025-03-15,14,Bundesliga,16,Augsburg,11,Wolfsburg,HOME_TEAM,1,0
2932,27,2025-03-29,14,Bundesliga,11,Wolfsburg,44,Heidenheim,AWAY_TEAM,0,1
2933,28,2025-04-06,15,Bundesliga,28,Union Berlin,11,Wolfsburg,HOME_TEAM,1,0
2934,29,2025-04-11,18,Bundesliga,11,Wolfsburg,721,RB Leipzig,AWAY_TEAM,2,3
2935,30,2025-04-19,13,Bundesliga,15,Mainz,11,Wolfsburg,DRAW,2,2
2936,31,2025-04-26,13,Bundesliga,11,Wolfsburg,17,Freiburg,AWAY_TEAM,0,1
2937,32,2025-05-03,16,Bundesliga,4,Dortmund,11,Wolfsburg,HOME_TEAM,4,0
2938,33,2025-05-09,18,Bundesliga,11,Wolfsburg,2,Hoffenheim,DRAW,2,2
2939,34,2025-05-17,13,Bundesliga,18,M'gladbach,11,Wolfsburg,AWAY_TEAM,0,1
2940,1,2024-08-24,13,Bundesliga,16,Augsburg,12,Bremen,DRAW,2,2
2941,2,2024-08-31,13,Bundesliga,12,Bremen,4,Dortmund,DRAW,0,0
2942,3,2024-09-15,15,Bundesliga,15,Mainz,12,Bremen,AWAY_TEAM,1,2
2943,4,2024-09-21,13,Bundesliga,12,Bremen,5,Bayern,AWAY_TEAM,0,5
2944,5,2024-09-29,15,Bundesliga,2,Hoffenheim,12,Bremen,AWAY_TEAM,3,4
2945,6,2024-10-05,13,Bundesliga,12,Bremen,17,Freiburg,AWAY_TEAM,0,1
